Conselho Tutelar;Item;Total Anual;Nº Pedidos;Média por Pedido;Data Pedido 1;Qtd 1;Período 1;Data Pedido 2;Qtd 2;Período 2;Data Pedido 3;Qtd 3;Período 3;Data Pedido 4;Qtd 4;Período 4;Data Pedido 5;Qtd 5;Período 5;Data Pedido 6;Qtd 6;Período 6;Data Pedido 7;Qtd 7;Período 7;Data Pedido 8;Qtd 8;Período 8;Data Pedido 9;Qtd 9;Período 9;Data Pedido 10;Qtd 10;Período 10
Coroadinho/João Paulo;CLIPS GRANDE;1;1;1;27/05/2026;1;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;CLIPS MEDIO;2;2;1;01/01/2026;1;? (sem data);27/05/2026;1;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;CLIPS Nº 2/0;4;4;1;13/05/2026;1;13/05 a 13/05/2026;10/06/2026;1;10/06 a 10/06/2026;24/06/2026;1;24/06 a 24/06/2026;02/07/2026;1;02/07 a 02/07/2026;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;CLIPS Nº 4/0;2;2;1;06/05/2026;1;06/05 a 06/05/2026;10/06/2026;1;10/06 a 10/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;CLIPS Nº 8/0;2;2;1;13/05/2026;1;13/05 a 13/05/2026;10/06/2026;1;10/06 a 10/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;CLIPS PEQUENO;2;2;1;01/01/2026;1;? (sem data);27/05/2026;1;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;ESCARCELA DE PLASTICO FINA;6;3;2;27/05/2026;2;27/05 a 27/05/2026;10/06/2026;2;10/06 a 10/06/2026;24/06/2026;2;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;ESCARCELAS DE PLASTICO FINA;3;1;3;01/01/2026;3;? (sem data);;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;EVA(AZUL,AMARELO,VERDE,VERMELHO, LARANJA,ROSA );5;1;5;27/05/2026;5;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;GRAMPEADOR MEDIO;1;1;1;02/07/2026;1;02/07 a 02/07/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;LAPIS DE CERA;7;5;1.4;06/05/2026;1;06/05 a 06/05/2026;27/05/2026;2;27/05 a 27/05/2026;10/06/2026;2;10/06 a 10/06/2026;24/06/2026;1;24/06 a 24/06/2026;02/07/2026;1;02/07 a 02/07/2026;;;;;;;;;;;;;;;
Coroadinho/João Paulo;MARCA TEXTO;2;1;2;01/01/2026;2;? (sem data);;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;MARCA-TEXTO;12;6;2;06/05/2026;2;06/05 a 06/05/2026;13/05/2026;2;13/05 a 13/05/2026;27/05/2026;2;27/05 a 27/05/2026;10/06/2026;2;10/06 a 10/06/2026;24/06/2026;2;24/06 a 24/06/2026;02/07/2026;2;02/07 a 02/07/2026;;;;;;;;;;;;
Coroadinho/João Paulo;PAPEL A4;1;1;1;01/01/2026;1;? (sem data);;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroadinho/João Paulo;RESMA DE PAPEL A4;6;6;1;06/05/2026;1;06/05 a 06/05/2026;13/05/2026;1;13/05 a 13/05/2026;27/05/2026;1;27/05 a 27/05/2026;10/06/2026;1;10/06 a 10/06/2026;24/06/2026;1;24/06 a 24/06/2026;02/07/2026;1;02/07 a 02/07/2026;;;;;;;;;;;;
Ct Zona Rural;(sem expediente);0;0;0
Itaqui-Bacanga;ALMODADA CARIMBO;1;1;1;15/04/2026;1;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;BORRACHA;17;4;4.25;25/05/2026;6;25/05 a 25/05/2026;10/06/2026;2;10/06 a 10/06/2026;18/06/2026;3;18/06 a 18/06/2026;03/07/2026;6;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CANETA AZUL;25;5;5;01/01/2026;5;? (sem data);15/04/2026;5;15/04 a 15/04/2026;25/05/2026;5;25/05 a 25/05/2026;10/06/2026;5;10/06 a 10/06/2026;18/06/2026;5;18/06 a 18/06/2026;;;;;;;;;;;;;;;
Itaqui-Bacanga;CANETA MARCADORA;13;4;3.25;25/05/2026;5;25/05 a 25/05/2026;10/06/2026;1;10/06 a 10/06/2026;18/06/2026;5;18/06 a 18/06/2026;03/07/2026;2;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CANETA PRETA;10;2;5;01/01/2026;5;? (sem data);18/06/2026;5;18/06 a 18/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CLIPS;2;2;1;01/01/2026;1;? (sem data);18/06/2026;1;18/06 a 18/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CLIPS Nº 2/0;1;1;1;10/06/2026;1;10/06 a 10/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CLIPS Nº 4/0;2;1;2;25/05/2026;2;25/05 a 25/05/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CLIPS Nº 6/0;1;1;1;03/07/2026;1;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;COLA BRANCA;4;4;1;01/01/2026;1;? (sem data);15/04/2026;1;15/04 a 15/04/2026;25/05/2026;1;25/05 a 25/05/2026;18/06/2026;1;18/06 a 18/06/2026;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;COPO DESCARTAVEL PARA CAFE;1;1;1;18/06/2026;1;18/06 a 18/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;COPOS PARA CAFE;2;2;1;01/01/2026;1;? (sem data);15/04/2026;1;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;CORRETIVO;12;6;2;01/01/2026;2;? (sem data);15/04/2026;1;15/04 a 15/04/2026;25/05/2026;5;25/05 a 25/05/2026;10/06/2026;1;10/06 a 10/06/2026;18/06/2026;1;18/06 a 18/06/2026;03/07/2026;2;03/07 a 03/07/2026;;;;;;;;;;;;
Itaqui-Bacanga;ENVELOPE;45;6;7.5;01/01/2026;5;? (sem data);15/04/2026;5;15/04 a 15/04/2026;25/05/2026;10;25/05 a 25/05/2026;10/06/2026;5;10/06 a 10/06/2026;18/06/2026;10;18/06 a 18/06/2026;03/07/2026;10;03/07 a 03/07/2026;;;;;;;;;;;;
Itaqui-Bacanga;FITA GOMADA;4;4;1;01/01/2026;1;? (sem data);15/04/2026;1;15/04 a 15/04/2026;10/06/2026;1;10/06 a 10/06/2026;18/06/2026;1;18/06 a 18/06/2026;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;GRAMPEADOR;1;1;1;03/07/2026;1;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;PAPEL A4;2;2;1;01/01/2026;1;? (sem data);15/04/2026;1;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;RESMA DE PAPEL A4;4;4;1;25/05/2026;1;25/05 a 25/05/2026;10/06/2026;1;10/06 a 10/06/2026;18/06/2026;1;18/06 a 18/06/2026;03/07/2026;1;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;TESOURA;6;4;1.5;25/05/2026;2;25/05 a 25/05/2026;10/06/2026;1;10/06 a 10/06/2026;18/06/2026;1;18/06 a 18/06/2026;03/07/2026;2;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;3;3;1;15/04/2026;1;15/04 a 15/04/2026;10/06/2026;1;10/06 a 10/06/2026;03/07/2026;1;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;;;;
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;2;2;1;10/06/2026;1;10/06 a 10/06/2026;03/07/2026;1;03/07 a 03/07/2026;;;;;;;;;;;;;;;;;;;;;;;;
São Cristóvão/São Raimundo;CANETA AZUL;11;3;3.67;28/04/2026;3;28/04 a 28/04/2026;06/05/2026;3;06/05 a 06/05/2026;16/06/2026;5;16/06 a 16/06/2026;;;;;;;;;;;;;;;;;;;;;
São Cristóvão/São Raimundo;E.V.A VARIA COR;8;1;8;16/06/2026;8;16/06 a 16/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Cristóvão/São Raimundo;E.V.A VARIA CORE;2;1;2;28/04/2026;2;28/04 a 28/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Cristóvão/São Raimundo;FITA GOMADA;1;1;1;16/06/2026;1;16/06 a 16/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Cristóvão/São Raimundo;MARCADOR DE TEXTO;2;1;2;16/06/2026;2;16/06 a 16/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Cristóvão/São Raimundo;RESMA DE PAPEL A4;3;3;1;28/04/2026;1;28/04 a 28/04/2026;06/05/2026;1;06/05 a 06/05/2026;16/06/2026;1;16/06 a 16/06/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;3;3;1;14/05/2026;1;14/05 a 14/05/2026;20/05/2026;1;20/05 a 20/05/2026;27/05/2026;1;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CANETA AZUL;15;3;5;22/04/2026;5;22/04 a 22/04/2026;10/06/2026;5;10/06 a 10/06/2026;17/06/2026;5;17/06 a 17/06/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CANETA PARA TECIDO;4;2;2;20/05/2026;2;20/05 a 20/05/2026;27/05/2026;2;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CANETAS AZUIS;5;1;5;15/04/2026;5;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CLIPS;3;2;1.5;15/04/2026;2;15/04 a 15/04/2026;27/05/2026;1;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CLIPS Nº 2/0;5;3;1.67;10/06/2026;2;10/06 a 10/06/2026;17/06/2026;2;17/06 a 17/06/2026;24/06/2026;1;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CLIPS Nº 3/0;1;1;1;22/04/2026;1;22/04 a 22/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CLIPS Nº 4/0;3;3;1;22/04/2026;1;22/04 a 22/04/2026;14/05/2026;1;14/05 a 14/05/2026;20/05/2026;1;20/05 a 20/05/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CLIPS Nº 6/0;1;1;1;22/04/2026;1;22/04 a 22/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;CLIPS Nº 8/0;1;1;1;22/04/2026;1;22/04 a 22/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;ENVELOPE A4;60;8;7.5;22/04/2026;5;22/04 a 22/04/2026;29/04/2026;5;29/04 a 29/04/2026;14/05/2026;10;14/05 a 14/05/2026;27/05/2026;10;27/05 a 27/05/2026;10/06/2026;5;10/06 a 10/06/2026;17/06/2026;10;17/06 a 17/06/2026;24/06/2026;10;24/06 a 24/06/2026;02/07/2026;5;02/07 a 02/07/2026;;;;;;
São Francisco/Cohama;ENVELOPES A4;10;1;10;15/04/2026;10;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;ESCARCELA;8;4;2;27/05/2026;2;27/05 a 27/05/2026;10/06/2026;2;10/06 a 10/06/2026;17/06/2026;2;17/06 a 17/06/2026;24/06/2026;2;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;LAPIS;15;3;5;10/06/2026;5;10/06 a 10/06/2026;17/06/2026;5;17/06 a 17/06/2026;24/06/2026;5;24/06 a 24/06/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;6;3;2;14/05/2026;2;14/05 a 14/05/2026;20/05/2026;2;20/05 a 20/05/2026;27/05/2026;2;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;POST IT;2;1;2;15/04/2026;2;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;POST-IT;1;1;1;22/04/2026;1;22/04 a 22/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;RESMA DE CHAMEX;1;1;1;15/04/2026;1;15/04 a 15/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Francisco/Cohama;RESMA DE PAPEL A4;10;10;1;22/04/2026;1;22/04 a 22/04/2026;29/04/2026;1;29/04 a 29/04/2026;07/05/2026;1;07/05 a 07/05/2026;14/05/2026;1;14/05 a 14/05/2026;20/05/2026;1;20/05 a 20/05/2026;27/05/2026;1;27/05 a 27/05/2026;10/06/2026;1;10/06 a 10/06/2026;17/06/2026;1;17/06 a 17/06/2026;24/06/2026;1;24/06 a 24/06/2026;02/07/2026;1;02/07 a 02/07/2026
São Francisco/Cohama;TESOURA;3;2;1.5;14/05/2026;2;14/05 a 14/05/2026;27/05/2026;1;27/05 a 27/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Vila Luizão/Turu;(sem expediente);0;0;0
