Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
SãO Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;POST IT;2;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT FranciscoCohama.ods
SãO Francisco/Cohama;POST-IT;1;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;RESMA DE CHAMEX;1;2026-04-15;2026-04-15;15/04 a 15/04/2026;2026-04;Histórico/Planilha;CT FranciscoCohama.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-04-22;2026-04-22;22/04 a 22/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-04-29;2026-04-29;29/04 a 29/04/2026;2026-04;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-07;2026-05-07;07/05 a 07/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCOods.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-14;2026-05-14;14/05 a 14/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-20;2026-05-20;20/05 a 20/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA 10 DE JUNHO DE 2026.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 17 de junho de 2026.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT SÃO FRANCISCO COHAMA ENTREGA DIA 24 de junho de 2026.ods
SãO Francisco/Cohama;RESMA DE PAPEL A4;1;2026-07-02;2026-07-02;02/07 a 02/07/2026;2026-07;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;TESOURA;2;2026-05-14;2026-05-14;14/05 a 14/05/2026;2026-05;Histórico/Planilha;CT SAO FRANCISCO.ods
SãO Francisco/Cohama;TESOURA;1;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT SÃO FRANCISCO (3).ods
