Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;1;2026-05-28;2026-05-28;28/05 a 28/05/2026;2026-05;Histórico/Planilha;CT OPERARIA 25 05 2026 (1).ods
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;2;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026.xlsx
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;1;2026-06-24;2026-06-24;24/06 a 24/06/2026;2026-06;Histórico/Planilha;CT OPERARIA 15 06 2026 (2).ods
Cidade OperáRia/Cidade OlíMpica;RESMA PAPEL A4;1;2026-04-13;2026-04-13;13/04 a 13/04/2026;2026-04;Histórico/Planilha;CT CIDADE OPERÁRIA .xlsx
CMAS;ENVELOPE A4;5;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CMAS).xlsx
CMAS;ENVELOPE A4;5;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;FITA DUREX;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CMAS).xlsx
CMAS;FITA DUREX;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;FITA GOMADA;1;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;LAPIS;10;2026-07-01;2026-07-01;01/07 a 01/07/2026;2026-07;Histórico/Planilha;CMAS .xlsx
CMAS;MARCADOR DE TEXTO;3;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CMAS).xlsx
CMAS;MARCADOR DE TEXTO;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;PAPEL COUCHE BRANCO PARA CERTIFICADO;2;2026-05-13;2026-05-13;13/05 a 13/05/2026;2026-05;Histórico/Planilha;CMAS 13.05.xlsx
CMAS;PASTA COM ELASTICO;2;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;PASTA SUSPENSA;3;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;RESMA DE PAPEL A4;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CMAS).xlsx
CMAS;RESMA DE PAPEL A4;4;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CMAS 10 de junho de 2026.ods
CMAS;RESMA DE PAPEL A4;1;2026-07-01;2026-07-01;01/07 a 01/07/2026;2026-07;Histórico/Planilha;CMAS .xlsx
CMAS;SACO DE LIXO 25L;10;2026-07-01;2026-07-01;01/07 a 01/07/2026;2026-07;Histórico/Planilha;CMAS .xlsx
CMDCA;APONTADOR;2;2026-04-28;2026-04-28;28/04 a 28/04/2026;2026-04;Histórico/Planilha;CMDCA 28.04.docx
CMDCA;CAIXA CANETA AZUL;5;2026-05-04;2026-05-04;04/05 a 04/05/2026;2026-05;Histórico/Planilha;CMDCA.docx
CMDCA;CAIXA CANETA AZUL;5;2026-06-15;2026-06-15;15/06 a 15/06/2026;2026-06;Histórico/Planilha;CMDCA 15 de junho de 2026.ods
