Conselho Tutelar;Item;Quantidade;Data (AAAA-MM-DD);Data (DD/MM/AAAA);Período;Mês;Arquivo
Cohab/Cohatrac;FITA DUREX;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT COHAB .xlsx
Cohab/Cohatrac;FITA DUREX;1;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;GRAMPEADOR;1;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
Cohab/Cohatrac;GRAMPEADOR;1;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;GRAMPO;1;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;MARCADOR DE TEXTO;3;2026-04-14;14/04/2026;14/04 a 14/04/2026;2026-04;CT COHAB  (2).xlsx
Cohab/Cohatrac;MARCADOR DE TEXTO;2;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;MARCADOR DE TEXTO;2;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-04-23;23/04/2026;23/04 a 23/04/2026;2026-04;CT COHAB ).xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-04-28;28/04/2026;28/04 a 28/04/2026;2026-04;CT COHAB .xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT COHAB .xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-05-26;26/05/2026;26/05 a 26/05/2026;2026-05;CT COHAB  (1).xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-06-09;09/06/2026;09/06 a 09/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE 09-06 2026.ods
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-06-22;22/06/2026;22/06 a 22/06/2026;2026-06;CT COHAB MATERIAL DE EXPEDIENTE Entrega 22 de junho de 2026.xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-07-01;01/07/2026;01/07 a 01/07/2026;2026-07;CT COHAB .xlsx
Cohab/Cohatrac;RESMA DE PAPEL A4;1;2026-07-07;07/07/2026;07/07 a 07/07/2026;2026-07;CT COHAB .xlsx
Coroadinho/João Paulo;CANETA;5;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;CANETA;5;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
Coroadinho/João Paulo;CANETA;5;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;CANETA;2;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT COROADINHO JOÃO PAULO 10 de JUNHO de 2026 GERAL.ods
Coroadinho/João Paulo;CANETAS;5;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;CLIPS GRANDE;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;CLIPS MEDIO;1;2026-01-01;01/01/2026;? (sem data);2026-01;CT COROADINHO.pdf
Coroadinho/João Paulo;CLIPS MEDIO;1;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT COROADINHO (2).ods
Coroadinho/João Paulo;CLIPS Nº 2/0;1;2026-05-13;13/05/2026;13/05 a 13/05/2026;2026-05;CT COROADINHO .ods
