Unidade;Item;Total Anual;Nº de Pedidos;Nº de Meses com Pedido;Média por Pedido;Média Mensal;Primeiro Pedido;Último Pedido
Coroadinho/JoãO Paulo;EVA(AZUL,AMARELO,VERDE,VERMELHO, LARANJA,ROSA );5;1;1;5;5;2026-05-27;2026-05-27
Coroadinho/JoãO Paulo;GRAMPEADOR MEDIO;1;1;1;1;1;2026-07-02;2026-07-02
Coroadinho/JoãO Paulo;LAPIS DE CERA;7;5;3;1.4;2.33;2026-05-06;2026-07-02
Coroadinho/JoãO Paulo;MARCA TEXTO;2;1;1;2;2;2026-01-01;2026-01-01
Coroadinho/JoãO Paulo;MARCA-TEXTO;12;6;3;2;4;2026-05-06;2026-07-02
Coroadinho/JoãO Paulo;PAPEL A4;1;1;1;1;1;2026-01-01;2026-01-01
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;6;6;3;1;2;2026-05-06;2026-07-02
Itaqui-Bacanga;ALMODADA CARIMBO;1;1;1;1;1;2026-04-15;2026-04-15
Itaqui-Bacanga;BORRACHA;17;4;3;4.25;5.67;2026-05-25;2026-07-03
Itaqui-Bacanga;CANETA AZUL;25;5;4;5;6.25;2026-01-01;2026-06-18
Itaqui-Bacanga;CANETA MARCADORA;13;4;3;3.25;4.33;2026-05-25;2026-07-03
Itaqui-Bacanga;CANETA PRETA;10;2;2;5;5;2026-01-01;2026-06-18
Itaqui-Bacanga;CLIPS;2;2;2;1;1;2026-01-01;2026-06-18
Itaqui-Bacanga;CLIPS Nº 2/0;1;1;1;1;1;2026-06-10;2026-06-10
Itaqui-Bacanga;CLIPS Nº 4/0;2;1;1;2;2;2026-05-25;2026-05-25
Itaqui-Bacanga;CLIPS Nº 6/0;1;1;1;1;1;2026-07-03;2026-07-03
Itaqui-Bacanga;COLA BRANCA;4;4;4;1;1;2026-01-01;2026-06-18
Itaqui-Bacanga;COPO DESCARTAVEL PARA CAFE;1;1;1;1;1;2026-06-18;2026-06-18
Itaqui-Bacanga;COPOS PARA CAFE;2;2;2;1;1;2026-01-01;2026-04-15
Itaqui-Bacanga;CORRETIVO;12;6;5;2;2.4;2026-01-01;2026-07-03
Itaqui-Bacanga;ENVELOPE;45;6;5;7.5;9;2026-01-01;2026-07-03
Itaqui-Bacanga;FITA GOMADA;4;4;3;1;1.33;2026-01-01;2026-06-18
Itaqui-Bacanga;GRAMPEADOR;1;1;1;1;1;2026-07-03;2026-07-03
Itaqui-Bacanga;PAPEL A4;2;2;2;1;1;2026-01-01;2026-04-15
Itaqui-Bacanga;RESMA DE PAPEL A4;4;4;3;1;1.33;2026-05-25;2026-07-03
Itaqui-Bacanga;TESOURA;6;4;3;1.5;2;2026-05-25;2026-07-03
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;3;3;3;1;1;2026-04-15;2026-07-03
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;2;2;2;1;1;2026-06-10;2026-07-03
SãO CristóVãO/SãO Raimundo;CANETA AZUL;11;3;3;3.67;3.67;2026-04-28;2026-06-16
SãO CristóVãO/SãO Raimundo;E.V.A VARIA COR;8;1;1;8;8;2026-06-16;2026-06-16
SãO CristóVãO/SãO Raimundo;E.V.A VARIA CORE;2;1;1;2;2;2026-04-28;2026-04-28
SãO CristóVãO/SãO Raimundo;FITA GOMADA;1;1;1;1;1;2026-06-16;2026-06-16
SãO CristóVãO/SãO Raimundo;MARCADOR DE TEXTO;2;1;1;2;2;2026-06-16;2026-06-16
SãO CristóVãO/SãO Raimundo;RESMA DE PAPEL A4;3;3;3;1;1;2026-04-28;2026-06-16
SãO Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;3;3;1;1;3;2026-05-14;2026-05-27
SãO Francisco/Cohama;CANETA AZUL;15;3;2;5;7.5;2026-04-22;2026-06-17
SãO Francisco/Cohama;CANETA PARA TECIDO;4;2;1;2;4;2026-05-20;2026-05-27
SãO Francisco/Cohama;CANETAS AZUIS;5;1;1;5;5;2026-04-15;2026-04-15
SãO Francisco/Cohama;CLIPS;3;2;2;1.5;1.5;2026-04-15;2026-05-27
SãO Francisco/Cohama;CLIPS Nº 2/0;5;3;1;1.67;5;2026-06-10;2026-06-24
SãO Francisco/Cohama;CLIPS Nº 3/0;1;1;1;1;1;2026-04-22;2026-04-22
SãO Francisco/Cohama;CLIPS Nº 4/0;3;3;2;1;1.5;2026-04-22;2026-05-20
SãO Francisco/Cohama;CLIPS Nº 6/0;1;1;1;1;1;2026-04-22;2026-04-22
SãO Francisco/Cohama;CLIPS Nº 8/0;1;1;1;1;1;2026-04-22;2026-04-22
SãO Francisco/Cohama;ENVELOPE A4;60;8;4;7.5;15;2026-04-22;2026-07-02
SãO Francisco/Cohama;ENVELOPES A4;10;1;1;10;10;2026-04-15;2026-04-15
SãO Francisco/Cohama;ESCARCELA;8;4;2;2;4;2026-05-27;2026-06-24
SãO Francisco/Cohama;LAPIS;15;3;1;5;15;2026-06-10;2026-06-24
SãO Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;6;3;1;2;6;2026-05-14;2026-05-27
SãO Francisco/Cohama;POST IT;2;1;1;2;2;2026-04-15;2026-04-15
SãO Francisco/Cohama;POST-IT;1;1;1;1;1;2026-04-22;2026-04-22
SãO Francisco/Cohama;RESMA DE CHAMEX;1;1;1;1;1;2026-04-15;2026-04-15
SãO Francisco/Cohama;RESMA DE PAPEL A4;10;10;4;1;2.5;2026-04-22;2026-07-02
SãO Francisco/Cohama;TESOURA;3;2;1;1.5;3;2026-05-14;2026-05-27
