Unidade;Item;Quantidade
CMAS;SACO DE LIXO 25L;10
CMAS;RESMA DE PAPEL A4;6
CMAS;MARCADOR DE TEXTO;5
CMAS;PASTA SUSPENSA;3
CMAS;FITA DUREX;2
CMAS;PAPEL COUCHE BRANCO PARA CERTIFICADO;2
CMAS;PASTA COM ELASTICO;2
CMAS;FITA GOMADA;1
CMDCA;CAIXA CANETA AZUL;10
CMDCA;POST-IT;6
CMDCA;RESMA DE PAPEL A4;6
CMDCA;CANETA;5
CMDCA;LAPIS;3
CMDCA;APONTADOR;2
CMDCA;CLIPS Nº 08 1 CX;2
CMDCA;CORRETIVO;2
CMDCA;MARCA-TEXTO;2
CMDCA;CARTOLINA;1
CMDCA;CLIPS Nª 04 1 CX;1
CMDCA;CLIPS Nº 06 1 CX;1
CMDCA;CLIPS Nº 6/0;1
CMDCA;ESCARCELA;1
CMDCA;FITA GOMADA;1
CMDCA;TESOURA;1
CMDI;PINCEL ATOMICO;6
CMDI;RESMA DE PAPEL A4;2
Cohab/Cohatrac;CANETA AZUL;18
Cohab/Cohatrac;CANETA PRETA;18
Cohab/Cohatrac;RESMA DE PAPEL A4;8
Cohab/Cohatrac;ESCARCELA;7
Cohab/Cohatrac;MARCADOR DE TEXTO;7
Cohab/Cohatrac;CORRETIVO;6
Cohab/Cohatrac;CANETA AZUL E PRETA;5
Cohab/Cohatrac;CLIPS Nº 8/0;4
Cohab/Cohatrac;CLIPS Nº 4/0;3
Cohab/Cohatrac;FITA DUREX;3
Cohab/Cohatrac;GRAMPEADOR;2
Cohab/Cohatrac;CHAMEX;1
Cohab/Cohatrac;CLIPS 04;1
Cohab/Cohatrac;CLIPS 08;1
Cohab/Cohatrac;GRAMPO;1
CONSELHO TUTELAR;CLIPS Nº 2/0;1
CONSELHO TUTELAR;CLIPS Nº 4/0;1
CONSELHO TUTELAR;CLIPS Nº 8/0;1
CONSELHO TUTELAR;RESMA DE PAPEL A4;1
Coroadinho/JoãO Paulo;CANETA;17
Coroadinho/JoãO Paulo;MARCA-TEXTO;12
Coroadinho/JoãO Paulo;LAPIS DE CERA;7
Coroadinho/JoãO Paulo;ESCARCELA DE PLASTICO FINA;6
Coroadinho/JoãO Paulo;RESMA DE PAPEL A4;6
Coroadinho/JoãO Paulo;CANETAS;5
Coroadinho/JoãO Paulo;EVA(AZUL,AMARELO,VERDE,VERMELHO, LARANJA,ROSA );5
Coroadinho/JoãO Paulo;CLIPS Nº 2/0;4
Coroadinho/JoãO Paulo;ESCARCELAS DE PLASTICO FINA;3
Coroadinho/JoãO Paulo;CLIPS MEDIO;2
Coroadinho/JoãO Paulo;CLIPS Nº 4/0;2
Coroadinho/JoãO Paulo;CLIPS Nº 8/0;2
Coroadinho/JoãO Paulo;CLIPS PEQUENO;2
Coroadinho/JoãO Paulo;MARCA TEXTO;2
Coroadinho/JoãO Paulo;CLIPS GRANDE;1
Coroadinho/JoãO Paulo;GRAMPEADOR MEDIO;1
Coroadinho/JoãO Paulo;PAPEL A4;1
Itaqui-Bacanga;ENVELOPE;45
Itaqui-Bacanga;CANETA AZUL;25
Itaqui-Bacanga;BORRACHA;17
Itaqui-Bacanga;CANETA MARCADORA;13
Itaqui-Bacanga;CORRETIVO;12
Itaqui-Bacanga;CANETA PRETA;10
Itaqui-Bacanga;TESOURA;6
Itaqui-Bacanga;COLA BRANCA;4
Itaqui-Bacanga;FITA GOMADA;4
Itaqui-Bacanga;RESMA DE PAPEL A4;4
Itaqui-Bacanga;TINTA AZUL PARA CARIMBO;3
Itaqui-Bacanga;CLIPS;2
Itaqui-Bacanga;CLIPS Nº 4/0;2
Itaqui-Bacanga;COPOS PARA CAFE;2
Itaqui-Bacanga;PAPEL A4;2
Itaqui-Bacanga;TINTA PRETA PARA CARIMBO;2
Itaqui-Bacanga;ALMODADA CARIMBO;1
Itaqui-Bacanga;CLIPS Nº 2/0;1
Itaqui-Bacanga;CLIPS Nº 6/0;1
Itaqui-Bacanga;COPO DESCARTAVEL PARA CAFE;1
Itaqui-Bacanga;GRAMPEADOR;1
SãO CristóVãO/SãO Raimundo;CANETA AZUL;11
SãO CristóVãO/SãO Raimundo;E.V.A VARIA COR;8
SãO CristóVãO/SãO Raimundo;RESMA DE PAPEL A4;3
SãO CristóVãO/SãO Raimundo;E.V.A VARIA CORE;2
SãO CristóVãO/SãO Raimundo;MARCADOR DE TEXTO;2
SãO CristóVãO/SãO Raimundo;FITA GOMADA;1
SãO Francisco/Cohama;ENVELOPE A4;60
SãO Francisco/Cohama;CANETA AZUL;15
SãO Francisco/Cohama;LAPIS;15
SãO Francisco/Cohama;ENVELOPES A4;10
SãO Francisco/Cohama;RESMA DE PAPEL A4;10
SãO Francisco/Cohama;ESCARCELA;8
SãO Francisco/Cohama;MARCADOR PARA QUADRO BRANCO;6
SãO Francisco/Cohama;CANETAS AZUIS;5
SãO Francisco/Cohama;CLIPS Nº 2/0;5
SãO Francisco/Cohama;CANETA PARA TECIDO;4
SãO Francisco/Cohama;APAGADOR PARA QUADRO BRANCO;3
SãO Francisco/Cohama;CLIPS;3
SãO Francisco/Cohama;CLIPS Nº 4/0;3
SãO Francisco/Cohama;TESOURA;3
SãO Francisco/Cohama;POST IT;2
SãO Francisco/Cohama;CLIPS Nº 3/0;1
SãO Francisco/Cohama;CLIPS Nº 6/0;1
SãO Francisco/Cohama;CLIPS Nº 8/0;1
SãO Francisco/Cohama;POST-IT;1
SãO Francisco/Cohama;RESMA DE CHAMEX;1
